Name	Artist	Composer	Album	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	Skip Count	Last Skipped	My Rating	Location
Nothin' On You	B.o.B		Nothin' On You (feat. Bruno Mars) - EP			269																			
On Top of the World	Imagine Dragons		Night Visions (Deluxe Version)			192																			
One Of The Girls	The Weeknd, JENNIE & Lily Rose Depp		One of the Girls - EP			244																			
Onefourthree (feat. Buddy & BJ the Chicago Kid)	Hermitude		Pollyanarchy (Deluxe Version)			227																			
Only Wanna Be With You	Hootie & The Blowfish		Cracked Rear View			229																			
Perfect	Ed Sheeran		÷ (Deluxe)			263																			
Pink Pony Club	Chappell Roan		Pink Pony Club - Single			258																			
Please Please Please	Sabrina Carpenter		Short n' Sweet			186																			
Psycho	Post Malone		beerbongs & bentleys			221																			
PUSH 2 START	Tyla		TYLA +			157																			
Reckless	Madison Beer		Reckless - Single			203																			
Rolling in the Deep	Adele		21			228																			
Sailor Song	Gigi Perez		Sailor Song - Single			211																			
Sapphire	Ed Sheeran		Sapphire			179																			
Saturn	SZA		Saturn			181																			
Say Something	Haven		Between The Senses			229																			
Senorita	Diljit Dosanjh, Mixsingh & Raj Ranjodh		AURA			178																			
Sexy Love	Ne-Yo		In My Own Words			220																			
SexyBack (feat. Timbaland)	Justin Timberlake		FutureSex/LoveSounds Deluxe Edition			242																			
Sharks	Imagine Dragons		Mercury - Acts 1 & 2			190																			
She’s Gone, Dance On (Todd Edwards Remix)	Disclosure		She’s Gone, Dance On (Todd Edwards Remix)			194																			
Shivers	Ed Sheeran		=			207																			
Shower	Becky G		Shower			205																			
Since U Been Gone	Kelly Clarkson		Greatest Hits - Chapter One			188																			
Smile	Katy Perry		Smile			168																			
So Sick	Ne-Yo		In My Own Words			207																			
Soft Spot	keshi		Requiem			204																			
Somebody Else	The 1975		I like it when you sleep, for you are so beautiful yet so unaware of it			347																			
Someday We'll Know	Mandy Moore & Jonathan Foreman		A Walk to Remember (Music from the Motion Picture)			222																			
Somewhere Over the Rainbow	Katharine McPhee		Somewhere Over the Rainbow / My Destiny - Single			210																			
sore throat	Thomas Day		sore throat			144																			
Sorry Mom	Devon Cole		Sorry Mom - Single			165																			
Sour Candy	Lady Gaga & BLACKPINK		Sour Candy - Single			157																			
Starboy (feat. Daft Punk)	The Weeknd		Starboy			230																			
Stargazing	Myles Smith		Stargazing			172																			
Story Of My Life	One Direction		Midnight Memories			245																			
Strangers	Kenya Grace		Strangers - Single			172																			
stupid song	Olivia Rodrigo		you seem pretty sad for a girl so in love			209																			
Sugar	Maroon 5		V (Deluxe)			235																			
Superman (It's Not Easy)	Five For Fighting		America Town			220																			
supernatural	Ariana Grande & Troye Sivan		eternal sunshine (slightly deluxe)			163																			
Sweet Disposition (a moment, a love)	Lost Frequencies		Sweet Disposition (a moment, a love)			212																			
Talk (feat. George Maple)	DJ Snake		Encore			237																			
Tears	Sabrina Carpenter		Man’s Best Friend			160																			
That's So True	KIDZ BOP Kids		KIDZ BOP 51			165																			
The Door	Teddy Swims		I've Tried Everything But Therapy (Part 1)			212																			
The Giver	Chappell Roan		The Giver - Single			202																			
The One That Got Away	Katy Perry		Teenage Dream			227																			
The Suburbs	Ruel		The Suburbs			188																			
THIS IS FOR	TWICE		THIS IS FOR			131																			
this is what forever feels like	JVKE		this is what forever feels like			154																			
Thnks fr th Mmrs	Fall Out Boy		Infinity On High			203																			
Timeless	The Weeknd & Playboi Carti		Timeless - Single			256																			
Tip Toe	HYBS		Tip Toe			224																			
Too Sweet	Hozier		Unheard			251																			
toxic till the end	ROSÉ		rosie			156																			
Treat Each Other Right	Jamie xx		In Waves			240																			
True	Hulvey		CRY			141																			
United States of Pop	DJ Earworm		United States of Pop - Single			196																			
Until I Found You	Stephen Sanchez		Until I Found You - Single			177																			
Watermelon Sugar	Harry Styles		Fine Line			173																			
Way Back Into Love	Hugh Grant & Haley Bennett		Music and Lyrics (Music from the Motion Picture)			277																			
we can't be friends (wait for your love)	Ariana Grande		eternal sunshine			228																			
Well Well Well	Gráinne Duffy		Dirt Woman Blues			247																			
What a Girl Wants	Christina Aguilera		Christina Aguilera (Expanded Edition)			215																			
Whatcha Say	Jason Derulo		Jason Derulo			221																			
Who	Jimin		MUSE			170																			
Why Does It Hurt So Bad (from "Waiting to Exhale" - Original Soundtrack)	Whitney Houston		I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)			277																			
Why Why Why	Shawn Mendes		Shawn			169																			
Work (feat. Drake)	Rihanna		ANTI (Deluxe)			219																			
Yeah! (feat. Lil Jon & Ludacris)	USHER		Confessions (Expanded Edition)			250																			
yes baby	Madison Beer		yes baby - Single			175																			
You and Me	Lifehouse		Lifehouse			195																			
Young, Wild & Free (feat. Bruno Mars)	Snoop Dogg		Mac and Devin Go To High School (Music From and Inspired By The Movie)			207																			
