=== AUDIT SCAN REPORT ===
Total Files Scanned: 202

Devon Cole - Sorry Mom.m4a | Sorry Mom - Devon Cole | Matched: [Sorry Mom - Single] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
Dhruv - double take.m4a | double take - Dhruv | Matched: [rapunzel] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Diplo & Leon Bridges - Horizon.m4a | Horizon - Diplo & Leon Bridges | Matched: [Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Disclosure - She’s Gone, Dance On.m4a | She’s Gone, Dance On - Disclosure | Matched: [She’s Gone, Dance On - Single] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
Doechii - Anxiety.m4a | Anxiety - Doechii | Matched: [Alligator Bites Never Heal (Extended)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Doja Cat - Jealous Type.m4a | Jealous Type - Doja Cat | Matched: [Vie] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Dominic Fike - Great Pretender.m4a | Great Pretender - Dominic Fike | Matched: [Rocket] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Don Mclean - American Pie (Full Length Version).m4a | American Pie (Full Length Version) - Don Mclean | Matched: [American Pie (Expanded Edition)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Don Toliver - Lose My Mind (From _F1® The Movie_) [feat. Doja Cat].m4a | Lose My Mind (From "F1® The Movie") [feat. Doja Cat] - Don Toliver | Matched: [Lose My Mind (feat. Doja Cat) [From F1® The Movie]] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Dua Lipa - Houdini (Live From Mexico).m4a | Houdini (Live From Mexico) - Dua Lipa | Matched: [Houdini (Adam Port Mix)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Ed Sheeran - Bad Habits (feat. Bring Me The Horizon).m4a | Bad Habits (feat. Bring Me The Horizon) - Ed Sheeran | Matched: [Bad Habits (feat. Bring Me The Horizon)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Ed Sheeran - Perfect.m4a | Perfect - Ed Sheeran | Matched: [÷ (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ed Sheeran - Sapphire.m4a | Sapphire - Ed Sheeran | Matched: [Play] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ed Sheeran - Shivers.m4a | Shivers - Ed Sheeran | Matched: [=] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ella Langley - Be Her.m4a | Be Her - Ella Langley | Matched: [Dandelion] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Ellie Goulding, Diplo & Swae Lee - Close to Me.m4a | Close to Me - Ellie Goulding, Diplo & Swae Lee | Matched: [Brightest Blue] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Enphamus & Queen Key - You Scared.m4a | You Scared - Enphamus & Queen Key | Matched: [Layin' Da Smack Down] | Score: 170 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: LOW_SCORE (170)
Estelle - American Boy (feat. Kanye West).m4a | American Boy (feat. Kanye West) - Estelle | Matched: [American Boy] | Score: 210 | Cat: Single | Quality: Deezer HD Artwork (1000px) | Flag: OK
FIFTY FIFTY - Cupid (Twin Version).m4a | Cupid (Twin Version) - FIFTY FIFTY | Matched: [The Beginning: Cupid] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Fall Out Boy - Thnks fr th Mmrs.m4a | Thnks fr th Mmrs - Fall Out Boy | Matched: [Infinity On High] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Five for Fighting - Superman (It's Not Easy).m4a | Superman (It's Not Easy) - Five for Fighting | Matched: [America Town] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Fujii Kaze - Love Like This.m4a | Love Like This - Fujii Kaze | Matched: [Prema] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
GRACE. - morethanwordscansay_.m4a | morethanwordscansay. - GRACE. | Matched: [morethanwordscansay. - Single] | Score: 210 | Cat: Single | Quality: iTunes High-Res (3000px) | Flag: OK
